GenerationNumberTermination,X,Y,TotalIterations,Stations,Drones,MTSPIteration,GeneticIteration,BestDistance,Genetic,TimeTaken
800,0,0,30056,5,1,1,9,2576.062893714682,2576.0628937146826,189843.3145
800,0,0,29994,5,1,1,8,2576.062893714682,2576.062893714682,182986.4421
800,0,0,29892,5,1,1,7,2576.062893714682,2576.0628963918616,194417.1432
800,0,0,29992,5,1,1,6,2576.062893714682,2576.062894445312,180622.7758
800,0,0,30138,5,1,1,5,2576.062893714682,2576.0629437127527,190113.6382
800,0,0,29856,5,1,1,4,2576.062893714682,2576.0628959117093,202243.7222
800,0,0,30042,5,1,1,3,2576.062893714682,2576.0629018990157,198507.7166
800,0,0,30142,5,1,1,2,2576.062893714682,2576.062893714682,209493.2762
800,0,0,29882,5,1,1,1,2576.062893714682,2576.0628952236784,183346.8582
800,0,0,30154,5,1,1,0,2576.062893714682,2576.0629072390284,198992.9728
400,0,0,15058,5,1,1,9,2576.062893714682,2576.062904,103387.9825
400,0,0,14934,5,1,1,8,2576.062893714682,2576.0628944164314,99430.8754
400,0,0,15042,5,1,1,7,2576.062893714682,2576.0628937146826,109116.4821
400,0,0,14908,5,1,1,6,2576.062893714682,2576.062896459565,104846.0409
400,0,0,14928,5,1,1,5,2576.062893714682,2576.0628963918616,95985.2639
400,0,0,14930,5,1,1,4,2576.062893714682,2576.0629004743687,91668.8192
400,0,0,15044,5,1,1,3,2576.062893714682,2576.062917856431,102929.5438
400,0,0,15038,5,1,1,2,2576.062893714682,2576.0628955990287,106359.1644
400,0,0,14912,5,1,1,1,2576.062893714682,2576.0630344125693,107397.1909
400,0,0,15038,5,1,1,0,2576.062893714682,2576.062906278356,105684.9579
200,0,0,7544,5,1,1,9,2576.062893714682,2576.062980869156,45809.6892
200,0,0,7486,5,1,1,8,2576.062893714682,2576.0630079773955,48531.3579
200,0,0,7434,5,1,1,7,2576.062893714682,2576.0629091458786,50414.7784
200,0,0,7526,5,1,1,6,2576.062893714682,2576.0629424895033,49735.8088
200,0,0,7470,5,1,1,5,2576.062893714682,2576.0629045259357,53119.6289
200,0,0,7520,5,1,1,4,2576.062893714682,2576.062896332169,54330.3221
200,0,0,7502,5,1,1,3,2576.062893714682,2576.062902594769,51359.2037
200,0,0,7548,5,1,1,2,2576.062893714682,2576.0629202611103,58931.5809
200,0,0,7464,5,1,1,1,2576.062893714682,2576.0628963918616,48081.8645
200,0,0,7544,5,1,1,0,2576.062893714682,2576.0629291767204,49954.9
100,0,0,3644,5,1,1,9,2576.062893714682,2576.0629561166816,30018.5168
100,0,0,3630,5,1,1,8,2576.062893714682,2576.0628947635737,28372.2648
100,0,0,3720,5,1,1,7,2576.062893714682,2576.0628957362173,22292.5479
100,0,0,3740,5,1,1,6,2576.062893714682,2576.0630261030738,26805.2131
100,0,0,3694,5,1,1,5,2576.062893714682,2576.062990869059,23200.5522
100,0,0,3660,5,1,1,4,2576.062893714682,2576.0630942032717,23267.6086
100,0,0,3722,5,1,1,3,2576.062893714682,2576.0633611935846,21782.0298
100,0,0,3682,5,1,1,2,2576.062893714682,2576.0629265543876,20589.0446
100,0,0,3724,5,1,1,1,2576.062893714682,2576.062902594769,22387.9484
100,0,0,3720,5,1,1,0,2576.062893714682,2576.0628992433262,21225.0524
50,0,0,1822,5,1,1,9,2576.062893714682,2576.065380328033,7999.6185
50,0,0,1820,5,1,1,8,2576.062893714682,2576.062915346893,9693.7778
50,0,0,1884,5,1,1,7,2576.062893714682,2576.062939160265,9170.1389
50,0,0,1890,5,1,1,6,2576.062893714682,2576.063888,6353.1537
50,0,0,1838,5,1,1,5,2576.062893714682,2576.062961137111,6787.2677
50,0,0,1886,5,1,1,4,2576.062893714682,2576.0628992020324,7095.1192
50,0,0,1826,5,1,1,3,2576.062893714682,2576.0629075058087,6267.7927
50,0,0,1822,5,1,1,2,2576.062893714682,2576.062897038205,6968.0869
50,0,0,1854,5,1,1,1,2576.062893714682,2576.062956912142,7210.4423
50,0,0,1922,5,1,1,0,2576.062893714682,2576.0633152586734,7436.1843
800,0,0,29960,5,1,2,9,2223.6064760040285,2223.6064780308902,183672.239
800,0,0,29802,5,1,2,8,2223.6064760040285,2223.606481995391,179464.6494
800,0,0,29958,5,1,2,7,2223.6064760040285,2223.6064839049754,183517.2403
800,0,0,29974,5,1,2,6,2223.6064760040285,2223.6065280431835,193630.0319
800,0,0,29810,5,1,2,5,2223.6064760040285,2223.6064762455317,189278.854
800,0,0,29854,5,1,2,4,2223.6064760040285,2223.606482312788,187359.8203
800,0,0,30062,5,1,2,3,2223.6064760040285,2223.6064763309096,193617.7971
800,0,0,30038,5,1,2,2,2223.6064760040285,2223.606476012323,190517.1572
