X,Y,TotalIterations,Stations,Drones,Iteration,BestDistance,Genetic,TimeTaken,Filename
602,108,3746,5,1,1,2576.062893714682,2576.062910597327,210,stations5_drones1_iteration1.plan
902,227,3708,5,1,2,2223.6064760040285,2223.60667235607,165,stations5_drones1_iteration2.plan
785,398,3758,5,1,3,1894.8997763641732,1894.8997831480524,206,stations5_drones1_iteration3.plan
825,485,3816,5,1,4,2842.0536369212014,2842.0536369212014,178,stations5_drones1_iteration4.plan
453,205,3784,5,1,5,1063.754446297751,1063.754448209176,193,stations5_drones1_iteration5.plan
859,345,3764,5,1,6,2572.785297754173,2572.7852977541734,166,stations5_drones1_iteration6.plan
846,395,3756,5,1,7,1205.071390417027,1205.071457241564,178,stations5_drones1_iteration7.plan
1049,285,3760,5,1,8,2227.560509925682,2227.560631541751,128,stations5_drones1_iteration8.plan
1249,396,3696,5,1,9,1979.153906601299,1979.153970629121,170,stations5_drones1_iteration9.plan
776,112,3798,5,1,10,2326.619665432236,2326.619666094039,161,stations5_drones1_iteration10.plan
794,344,3716,5,2,1,2305.658777161387,2305.7106759785293,116,stations5_drones2_iteration1.plan
329,459,3740,5,2,2,2987.932127369947,2987.9370656248666,108,stations5_drones2_iteration2.plan
829,475,3702,5,2,3,1537.8851992101036,1537.8860445284374,100,stations5_drones2_iteration3.plan
624,525,3868,5,2,4,2272.3394182370494,2275.838205571547,220,stations5_drones2_iteration4.plan
592,176,3696,5,2,5,2030.7479925521868,2030.7528975823416,121,stations5_drones2_iteration5.plan
665,324,3708,5,2,6,2163.7358023589613,2163.7413553334263,111,stations5_drones2_iteration6.plan
772,320,3736,5,2,7,2228.808715679442,2228.966325544477,101,stations5_drones2_iteration7.plan
352,253,3806,5,2,8,2885.513493359117,2886.0502789602606,112,stations5_drones2_iteration8.plan
784,260,3754,5,2,9,1898.4183279035838,1898.4235078112577,116,stations5_drones2_iteration9.plan
997,551,3738,5,2,10,1928.5215756525372,1928.5603603169784,114,stations5_drones2_iteration10.plan
1099,244,3716,5,3,1,2364.348686426475,2373.539401522974,115,stations5_drones3_iteration1.plan
911,269,3820,5,3,2,3309.134797476616,3313.353855961787,114,stations5_drones3_iteration2.plan
677,504,3704,5,3,3,2935.776335490636,2943.9969150134048,100,stations5_drones3_iteration3.plan
978,472,3770,5,3,4,3224.41536216012,3236.6146849361353,132,stations5_drones3_iteration4.plan
779,235,3766,5,3,5,1743.9138338900843,1743.9155483190298,145,stations5_drones3_iteration5.plan
1002,221,3762,5,3,6,2564.2754720884677,2565.9303137436045,110,stations5_drones3_iteration6.plan
972,114,3720,5,3,7,2194.53962087916,2198.603014878371,110,stations5_drones3_iteration7.plan
832,421,3812,5,3,8,3154.656119004884,3156.1907058476877,123,stations5_drones3_iteration8.plan
1262,209,3696,5,3,9,2899.6217168809226,2899.6244517594714,127,stations5_drones3_iteration9.plan
1015,431,3760,5,3,10,3066.16672313884,3077.885615506645,133,stations5_drones3_iteration10.plan
849,175,3774,5,4,1,2238.7305001489603,2240.5537483924486,126,stations5_drones4_iteration1.plan
1102,174,3718,5,4,2,2353.1148128372015,2356.347221148261,187,stations5_drones4_iteration2.plan
1293,294,3742,5,4,3,2966.2833577896727,2968.590463703917,215,stations5_drones4_iteration3.plan
578,148,3694,5,4,4,2364.873611625673,2364.8763018380955,190,stations5_drones4_iteration4.plan
804,340,3688,5,4,5,2432.477125233486,2432.569635551385,178,stations5_drones4_iteration5.plan
737,162,3730,5,4,6,2300.2884846415977,2303.803600333358,198,stations5_drones4_iteration6.plan
944,382,3740,5,4,7,3053.7742006074996,3055.8163612392455,186,stations5_drones4_iteration7.plan
870,76,3740,5,4,8,2144.4860732414004,2144.4860732414004,200,stations5_drones4_iteration8.plan
448,472,3718,5,4,9,2375.024575799674,2378.463484084668,277,stations5_drones4_iteration9.plan
927,375,3808,5,4,10,2218.676620576502,2222.47715987944,202,stations5_drones4_iteration10.plan
1173,360,3734,5,5,1,4852.6879055656,4855.789114293235,191,stations5_drones5_iteration1.plan
455,298,3758,5,5,2,2940.9473367281366,2941.217804769619,222,stations5_drones5_iteration2.plan
1292,171,3704,5,5,3,2043.5941816104282,2043.9287555197727,164,stations5_drones5_iteration3.plan
982,185,3694,5,5,4,3474.4141814146715,3476.9227221493106,182,stations5_drones5_iteration4.plan
541,201,3782,5,5,5,3298.115955839911,3298.130345791419,204,stations5_drones5_iteration5.plan
663,313,3790,5,5,6,4293.65987461631,4295.343243017241,184,stations5_drones5_iteration6.plan
592,287,3844,5,5,7,2533.7063287894866,2533.7063287894866,212,stations5_drones5_iteration7.plan
535,338,3784,5,5,8,3852.1388360260103,3852.1388360260103,190,stations5_drones5_iteration8.plan
549,436,3766,5,5,9,3172.8405185447878,3174.4812123281017,218,stations5_drones5_iteration9.plan
537,342,3828,5,5,10,3133.111085880434,3133.174994562476,181,stations5_drones5_iteration10.plan
707,343,3672,5,6,1,2380.6740753179465,2380.7632139997777,289,stations5_drones6_iteration1.plan
1219,343,3710,5,6,2,4035.922942629991,4038.5142409456585,356,stations5_drones6_iteration2.plan
574,219,3812,5,6,3,3736.540879431133,3736.5518833797796,303,stations5_drones6_iteration3.plan
551,231,3770,5,6,4,4140.601501978332,4142.7480214619645,322,stations5_drones6_iteration4.plan
1087,229,3772,5,6,5,1737.18286963026,1737.189393259911,373,stations5_drones6_iteration5.plan
603,260,3720,5,6,6,3848.719090582945,3848.994424296084,331,stations5_drones6_iteration6.plan
702,400,3740,5,6,7,4369.385730314943,4369.558127923239,255,stations5_drones6_iteration7.plan
620,371,3788,5,6,8,4341.989448541024,4344.031128913723,361,stations5_drones6_iteration8.plan
317,354,3762,5,6,9,2339.7965549616843,2346.2850050018765,381,stations5_drones6_iteration9.plan
486,439,3682,5,6,10,1654.8840946864864,1654.8840946864864,310,stations5_drones6_iteration10.plan
1008,367,3762,5,7,1,3086.491649238462,3086.499947641985,433,stations5_drones7_iteration1.plan
627,191,3808,5,7,2,3666.579830715663,3666.6410903109627,477,stations5_drones7_iteration2.plan
1111,311,3788,5,7,3,3040.786328107993,3044.771964010627,481,stations5_drones7_iteration3.plan
382,341,3788,5,7,4,957.3961179443871,957.3961179443871,514,stations5_drones7_iteration4.plan
131,38,3726,5,7,5,3975.994941042921,3976.2934055070377,406,stations5_drones7_iteration5.plan
971,189,3804,5,7,6,3986.408965541137,3988.206025545332,453,stations5_drones7_iteration6.plan
1296,208,3724,5,7,7,1767.0757713946819,1767.0757713946819,313,stations5_drones7_iteration7.plan
548,441,3868,5,7,8,2499.8110839137194,2499.8110839137194,462,stations5_drones7_iteration8.plan
995,395,3806,5,7,9,2835.4091061617873,2835.47187401238,544,stations5_drones7_iteration9.plan
597,161,3788,5,7,10,2363.804061098191,2363.8266177714845,523,stations5_drones7_iteration10.plan
1052,379,3830,5,8,1,3563.374222391063,3563.3815153250794,712,stations5_drones8_iteration1.plan
190,472,3688,5,8,2,4914.2798967731105,4914.354223031302,536,stations5_drones8_iteration2.plan
835,381,3720,5,8,3,4158.58754660265,4159.991386242632,681,stations5_drones8_iteration3.plan
671,364,3788,5,8,4,3305.6959632741455,3305.773928810663,649,stations5_drones8_iteration4.plan
640,484,3866,5,8,5,1594.373341358618,1594.373341358618,733,stations5_drones8_iteration5.plan
314,421,3752,5,8,6,3592.8393893916536,3592.842327890389,664,stations5_drones8_iteration6.plan
616,328,3830,5,8,7,3342.097406723524,3344.851471688429,671,stations5_drones8_iteration7.plan
685,311,3746,5,8,8,2601.0364768085556,2602.9353322386364,559,stations5_drones8_iteration8.plan
