X,Y,TotalIterations,Stations,Drones,MTSPIteration,GeneticIteration,BestDistance,Genetic,TimeTaken,Filename
476,126,3782,5,1,1,10,2576.062893714682,2576.062934546411,369.1532,stations5_drones1_iteration1.plan
475,254,3770,5,1,1,9,2576.062893714682,2576.0630456698955,423.3531,stations5_drones1_iteration1.plan
544,116,3730,5,1,1,8,2576.062893714682,2576.063134844735,366.8157,stations5_drones1_iteration1.plan
720,371,3766,5,1,1,7,2576.062893714682,2576.0629125268224,374.8815,stations5_drones1_iteration1.plan
871,69,3760,5,1,1,6,2576.062893714682,2576.06292026111,382.5881,stations5_drones1_iteration1.plan
581,111,3754,5,1,1,5,2576.062893714682,2576.0628998890716,448.043,stations5_drones1_iteration1.plan
703,363,3826,5,1,1,4,2576.062893714682,2576.0628942248914,457.663,stations5_drones1_iteration1.plan
1272,131,3726,5,1,1,3,2576.062893714682,2576.062936255889,395.6961,stations5_drones1_iteration1.plan
628,104,3672,5,1,1,2,2576.062893714682,2576.0629650696987,374.1809,stations5_drones1_iteration1.plan
762,391,3858,5,1,1,1,2576.062893714682,2576.062930095234,404.6667,stations5_drones1_iteration1.plan
567,406,3788,5,1,2,10,2223.6064760040285,2223.6065692944803,4523.9067,stations5_drones1_iteration2.plan
542,419,3768,5,1,2,9,2223.6064760040285,2223.6065116178247,3434.258,stations5_drones1_iteration2.plan
866,246,3816,5,1,2,8,2223.6064760040285,2223.606486928574,3336.0136,stations5_drones1_iteration2.plan
857,251,3730,5,1,2,7,2223.6064760040285,2223.606598459892,3197.7363,stations5_drones1_iteration2.plan
755,305,3752,5,1,2,6,2223.6064760040285,2223.6065844328277,3347.4273,stations5_drones1_iteration2.plan
630,372,3790,5,1,2,5,2223.6064760040285,2223.6064894891497,4915.9055,stations5_drones1_iteration2.plan
580,399,3810,5,1,2,4,2223.6064760040285,2223.606531606387,4211.0234,stations5_drones1_iteration2.plan
416,218,3812,5,1,2,3,2223.6064760040285,2223.606486228277,3957.1413,stations5_drones1_iteration2.plan
707,331,3832,5,1,2,2,2223.6064760040285,2223.606484759417,3385.7754,stations5_drones1_iteration2.plan
931,81,3754,5,1,2,1,2223.6064760040285,2223.606476647132,3381.3297,stations5_drones1_iteration2.plan
863,410,3762,5,1,3,10,1894.8997763641732,1894.8999422415527,2557.8859,stations5_drones1_iteration3.plan
599,425,3776,5,1,3,9,1894.8997763641732,1894.8997766010095,3198.6652,stations5_drones1_iteration3.plan
712,393,3674,5,1,3,8,1894.8997763641732,1894.89981054444,4036.8495,stations5_drones1_iteration3.plan
418,447,3654,5,1,3,7,1894.8997763641732,1894.899783471537,2541.9403,stations5_drones1_iteration3.plan
910,417,3718,5,1,3,6,1894.8997763641732,1894.899777451866,2191.2136,stations5_drones1_iteration3.plan
857,409,3722,5,1,3,5,1894.8997763641732,1894.8998118346042,3611.3558,stations5_drones1_iteration3.plan
539,442,3796,5,1,3,4,1894.8997763641732,1894.8997763863867,3409.892,stations5_drones1_iteration3.plan
631,416,3626,5,1,3,3,1894.8997763641732,1894.8998110530124,3031.7699,stations5_drones1_iteration3.plan
897,415,3820,5,1,3,2,1894.8997763641732,1894.8997769604919,3409.9127,stations5_drones1_iteration3.plan
911,417,3766,5,1,3,1,1894.8997763641732,1894.8999023818048,3854.2834,stations5_drones1_iteration3.plan
978,66,3770,5,1,4,10,2842.0536369212014,2842.0536371815665,3056.8765,stations5_drones1_iteration4.plan
800,64,3696,5,1,4,9,2842.0536369212014,2842.053636973218,3352.3125,stations5_drones1_iteration4.plan
1066,67,3766,5,1,4,8,2842.0536369212014,2842.053637108735,4076.6622,stations5_drones1_iteration4.plan
886,65,3840,5,1,4,7,2842.0536369212014,2842.0536384840602,3093.8398,stations5_drones1_iteration4.plan
