FitnessStagnationTermination,X,Y,TotalIterations,Stations,Drones,MTSPIteration,GeneticIteration,BestDistance,Genetic,TimeTaken
80,0,0,4328,5,1,1,9,2576.062893714682,2576.0630471422055,6051.185
80,0,0,4184,5,1,1,8,2576.062893714682,2576.0630072572376,5632.7926
80,0,0,5600,5,1,1,7,2576.062893714682,2576.0628943756556,5750.8367
80,0,0,4424,5,1,1,6,2576.062893714682,2576.0628948649996,5213.6635
80,0,0,4330,5,1,1,5,2576.062893714682,2576.0629058910627,5393.0276
80,0,0,5120,5,1,1,4,2576.062893714682,2576.0629934506296,5279.7117
80,0,0,5662,5,1,1,3,2576.062893714682,2576.0628950220334,4969.9001
80,0,0,3542,5,1,1,2,2576.062893714682,2576.0628943756556,3692.0464
80,0,0,4390,5,1,1,1,2576.062893714682,2576.0629105349144,5319.5128
80,0,0,7004,5,1,1,0,2576.062893714682,2576.0628949024535,5900.4169
40,0,0,2480,5,1,1,9,2576.062893714682,2576.0629265543876,2432.3581
40,0,0,2730,5,1,1,8,2576.062893714682,2576.0628955763223,2026.4931
40,0,0,1952,5,1,1,7,2576.062893714682,2576.062938334473,1674.7968
40,0,0,1496,5,1,1,6,2576.062893714682,2576.0628938204773,1086.1576
40,0,0,2096,5,1,1,5,2576.062893714682,2576.0656957505857,1816.4589
40,0,0,2842,5,1,1,4,2576.062893714682,2576.0629265006837,1944.6787
40,0,0,2998,5,1,1,3,2576.062893714682,2576.0629116648024,2331.3265
40,0,0,1922,5,1,1,2,2576.062893714682,2576.062939920296,2151.017
40,0,0,2456,5,1,1,1,2576.062893714682,2576.0630079773955,2215.1599
40,0,0,2126,5,1,1,0,2576.062893714682,2576.0633238213304,2039.6228
20,0,0,906,5,1,1,9,2576.062893714682,2576.0631101938725,556.2843
20,0,0,1330,5,1,1,8,2576.062893714682,2576.063757245586,1069.6037
20,0,0,1076,5,1,1,7,2576.062893714682,2576.0631752420863,797.785
20,0,0,1698,5,1,1,6,2576.062893714682,2576.062894016719,1643.3681
20,0,0,1150,5,1,1,5,2576.062893714682,2576.062894029191,714.5915
20,0,0,914,5,1,1,4,2576.062893714682,2576.0657927775255,388.6259
20,0,0,986,5,1,1,3,2576.062893714682,2576.063278045901,634.8931
20,0,0,2148,5,1,1,2,2576.062893714682,2576.0628999471714,1614.7351
20,0,0,1190,5,1,1,1,2576.062893714682,2576.0630079773955,797.7588
20,0,0,922,5,1,1,0,2576.062893714682,2576.063477036432,924.3994
10,0,0,736,5,1,1,9,2576.062893714682,2576.063014231166,613.2285
10,0,0,628,5,1,1,8,2576.062893714682,2576.0652911479615,401.9448
10,0,0,376,5,1,1,7,2576.062893714682,2576.065362533291,176.6405
10,0,0,652,5,1,1,6,2576.062893714682,2576.0628992433262,375.3511
10,0,0,558,5,1,1,5,2576.062893714682,2576.0937539818337,605.4022
10,0,0,1026,5,1,1,4,2576.062893714682,2576.0629295803487,637.1833
10,0,0,606,5,1,1,3,2576.062893714682,2576.062894902454,491.1829
10,0,0,644,5,1,1,2,2576.062893714682,2576.0644380519634,549.2641
10,0,0,654,5,1,1,1,2576.062893714682,2576.062894029191,492.1525
10,0,0,716,5,1,1,0,2576.062893714682,2576.0637983965576,675.8345
5,0,0,370,5,1,1,9,2576.062893714682,2576.0720373641866,246.0791
5,0,0,588,5,1,1,8,2576.062893714682,2576.0632701779314,523.5169
5,0,0,186,5,1,1,7,2576.062893714682,2576.0649264405424,95.2238
5,0,0,186,5,1,1,6,2576.062893714682,2576.1779760147506,53.3078
5,0,0,360,5,1,1,5,2576.062893714682,2576.065518,271.134
5,0,0,222,5,1,1,4,2576.062893714682,2576.0635191286524,290.7179
5,0,0,382,5,1,1,3,2576.062893714682,2576.093572177194,131.081
5,0,0,276,5,1,1,2,2576.062893714682,2576.0649524870446,250.9124
5,0,0,192,5,1,1,1,2576.062893714682,2576.074823004172,139.1619
5,0,0,586,5,1,1,0,2576.062893714682,2576.0973330311904,446.6167
80,0,0,4666,5,1,2,9,2223.6064760040285,2223.606476054299,5405.23
80,0,0,3092,5,1,2,8,2223.6064760040285,2223.606519166341,3058.6927
80,0,0,3596,5,1,2,7,2223.6064760040285,2223.606555240673,3827.9428
80,0,0,5458,5,1,2,6,2223.6064760040285,2223.606476012323,6931.6436
80,0,0,5256,5,1,2,5,2223.6064760040285,2223.6065097049554,5355.6833
80,0,0,8094,5,1,2,4,2223.6064760040285,2223.6064825611943,7211.7676
80,0,0,3070,5,1,2,3,2223.6064760040285,2223.606562648677,2770.2616
80,0,0,6422,5,1,2,2,2223.6064760040285,2223.606901428786,4849.5132
80,0,0,7678,5,1,2,1,2223.6064760040285,2223.6064894891497,6771.8362
80,0,0,7420,5,1,2,0,2223.6064760040285,2223.6064769751497,5968.8633
40,0,0,2100,5,1,2,9,2223.6064760040285,2223.608039114833,1968.402
40,0,0,3046,5,1,2,8,2223.6064760040285,2223.606476012323,3013.6253
40,0,0,1548,5,1,2,7,2223.6064760040285,2223.606519166341,935.6914
40,0,0,3008,5,1,2,6,2223.6064760040285,2223.606654213115,2602.0545
40,0,0,3858,5,1,2,5,2223.6064760040285,2223.606484810827,3085.3921
40,0,0,2134,5,1,2,4,2223.6064760040285,2223.606609058358,1614.0195
40,0,0,1742,5,1,2,3,2223.6064760040285,2223.6064768016668,1100.4452
40,0,0,2308,5,1,2,2,2223.6064760040285,2223.606505997821,1717.2345
40,0,0,1596,5,1,2,1,2223.6064760040285,2223.606482454892,1330.9195
40,0,0,1544,5,1,2,0,2223.6064760040285,2223.6072682707913,1695.0967
20,0,0,792,5,1,2,9,2223.6064760040285,2223.606519166341,743.285
20,0,0,1766,5,1,2,8,2223.6064760040285,2223.6064769751497,1247.1563
20,0,0,1152,5,1,2,7,2223.6064760040285,2223.6066394019654,724.3335
20,0,0,966,5,1,2,6,2223.6064760040285,2223.6065463296136,530.0162
20,0,0,1354,5,1,2,5,2223.6064760040285,2223.6064831982158,1114.2716
20,0,0,702,5,1,2,4,2223.6064760040285,2223.608070932496,471.132
20,0,0,868,5,1,2,3,2223.6064760040285,2223.606519166341,731.6111
20,0,0,1126,5,1,2,2,2223.6064760040285,2223.606477544717,649.5053
20,0,0,942,5,1,2,1,2223.6064760040285,2223.606519166341,551.3329
20,0,0,740,5,1,2,0,2223.6064760040285,2223.608070932496,439.0267
10,0,0,348,5,1,2,9,2223.6064760040285,2223.608070932496,117.9753
10,0,0,320,5,1,2,8,2223.6064760040285,2223.608070932496,291.7719
10,0,0,338,5,1,2,7,2223.6064760040285,2223.608070932496,307.6265
10,0,0,334,5,1,2,6,2223.6064760040285,2223.608070932496,328.1381
10,0,0,320,5,1,2,5,2223.6064760040285,2223.608070932496,257.89
10,0,0,928,5,1,2,4,2223.6064760040285,2223.6064856987496,625.6903
10,0,0,326,5,1,2,3,2223.6064760040285,2223.608070932496,184.2495
10,0,0,354,5,1,2,2,2223.6064760040285,2223.608070932496,101.293
10,0,0,1236,5,1,2,1,2223.6064760040285,2223.6064894031056,652.874
10,0,0,352,5,1,2,0,2223.6064760040285,2223.608070932496,118.0021
5,0,0,144,5,1,2,9,2223.6064760040285,2223.608070932496,102.2379
5,0,0,184,5,1,2,8,2223.6064760040285,2223.6064831982158,119.4483
5,0,0,144,5,1,2,7,2223.6064760040285,2223.608070932496,134.2472
5,0,0,162,5,1,2,6,2223.6064760040285,2223.608070932496,83.3569
5,0,0,272,5,1,2,5,2223.6064760040285,2223.607274761626,107.4221
5,0,0,142,5,1,2,4,2223.6064760040285,2223.608070932496,79.1549
5,0,0,142,5,1,2,3,2223.6064760040285,2223.608070932496,89.6034
5,0,0,142,5,1,2,2,2223.6064760040285,2223.608070932496,23.5758
5,0,0,256,5,1,2,1,2223.6064760040285,2223.6064886133495,266.2028
5,0,0,244,5,1,2,0,2223.6064760040285,2223.607314276538,159.4081
80,0,0,3360,5,1,3,9,1894.8997763641732,1894.8997824037733,3577.229
80,0,0,4260,5,1,3,8,1894.8997763641732,1894.8998700583468,4181.3494
80,0,0,5710,5,1,3,7,1894.8997763641732,1894.8998684305388,6926.3996
80,0,0,3640,5,1,3,6,1894.8997763641732,1894.8998312581045,3932.5195
80,0,0,3010,5,1,3,5,1894.8997763641732,1894.8997953662306,3354.389
80,0,0,5182,5,1,3,4,1894.8997763641732,1894.8998118346042,5707.577
80,0,0,3102,5,1,3,3,1894.8997763641732,1894.8997772733146,2856.0985
80,0,0,5344,5,1,3,2,1894.8997763641732,1894.8997822766396,4937.1559
80,0,0,7674,5,1,3,1,1894.8997763641732,1894.8997842778163,5644.2672
80,0,0,3406,5,1,3,0,1894.8997763641732,1894.900033,2934.5032
40,0,0,2640,5,1,3,9,1894.8997763641732,1894.8997796146227,2398.5803
40,0,0,2440,5,1,3,8,1894.8997763641732,1894.8999665136917,2084.0662
40,0,0,2074,5,1,3,7,1894.8997763641732,1894.8997768213305,1305.6307
40,0,0,1878,5,1,3,6,1894.8997763641732,1894.8997766010095,1470.2405
40,0,0,2212,5,1,3,5,1894.8997763641732,1894.8997991403553,1553.7671
40,0,0,2152,5,1,3,4,1894.8997763641732,1894.8999975550194,1621.3181
40,0,0,1800,5,1,3,3,1894.8997763641732,1894.8997829177313,1432.9592
40,0,0,1570,5,1,3,2,1894.8997763641732,1894.8997778540715,1066.2001
40,0,0,2676,5,1,3,1,1894.8997763641732,1894.8998862342253,1796.6175
40,0,0,1714,5,1,3,0,1894.8997763641732,1894.9011337268557,1663.839
20,0,0,844,5,1,3,9,1894.8997763641732,1894.900973,377.6741
20,0,0,952,5,1,3,8,1894.8997763641732,1894.9017395631138,759.6674
20,0,0,818,5,1,3,7,1894.8997763641732,1894.8999082711732,395.4202
20,0,0,1506,5,1,3,6,1894.8997763641732,1894.8998684305388,1681.0479
20,0,0,758,5,1,3,5,1894.8997763641732,1894.8997778540715,308.698
20,0,0,1996,5,1,3,4,1894.8997763641732,1894.899778515496,1502.4862
20,0,0,854,5,1,3,3,1894.8997763641732,1894.899776605956,478.9912
20,0,0,870,5,1,3,2,1894.8997763641732,1894.899778333537,418.5617
20,0,0,1186,5,1,3,1,1894.8997763641732,1894.902091050462,834.578
20,0,0,1160,5,1,3,0,1894.8997763641732,1894.8998215412212,591.2082
10,0,0,882,5,1,3,9,1894.8997763641732,1894.9010529185791,642.7751
10,0,0,776,5,1,3,8,1894.8997763641732,1894.900426100426,752.6201
10,0,0,1052,5,1,3,7,1894.8997763641732,1894.9002816113205,1237.8108
10,0,0,332,5,1,3,6,1894.8997763641732,1894.9447907743463,179.2949
10,0,0,406,5,1,3,5,1894.8997763641732,1894.9155565496917,239.1928
10,0,0,420,5,1,3,4,1894.8997763641732,1894.9029111650761,214.4181
10,0,0,704,5,1,3,3,1894.8997763641732,1894.9016780745296,367.7978
10,0,0,626,5,1,3,2,1894.8997763641732,1894.9025566099278,333.589
10,0,0,304,5,1,3,1,1894.8997763641732,1894.9447907743463,106.546
10,0,0,722,5,1,3,0,1894.8997763641732,1894.9003376942492,280.4982
5,0,0,196,5,1,3,9,1894.8997763641732,1894.9006579151276,139.2067
5,0,0,274,5,1,3,8,1894.8997763641732,1894.907219693153,193.7912
5,0,0,356,5,1,3,7,1894.8997763641732,1894.9003373101275,120.8987
5,0,0,248,5,1,3,6,1894.8997763641732,1894.9084337937284,62.527
5,0,0,324,5,1,3,5,1894.8997763641732,1894.9013129211364,138.2777
5,0,0,228,5,1,3,4,1894.8997763641732,1894.9147349989632,116.2723
5,0,0,186,5,1,3,3,1894.8997763641732,1894.8998191114592,75.0823
5,0,0,134,5,1,3,2,1894.8997763641732,1894.9447907743463,154.0506
5,0,0,412,5,1,3,1,1894.8997763641732,1894.9043225820722,216.2962
5,0,0,314,5,1,3,0,1894.8997763641732,1894.923222960288,354.9182
80,0,0,6178,5,1,4,9,2842.0536369212014,2842.053636938543,26670.0072
80,0,0,6698,5,1,4,8,2842.0536369212014,2842.0536380873427,22709.4702
80,0,0,5394,5,1,4,7,2842.0536369212014,2842.0536384840602,21838.1298
80,0,0,7298,5,1,4,6,2842.0536369212014,2842.053636973218,32602.9722
80,0,0,8584,5,1,4,5,2842.0536369212014,2842.053636921202,30649.6172
80,0,0,8204,5,1,4,4,2842.0536369212014,2842.053636921202,30924.9585
80,0,0,4978,5,1,4,3,2842.0536369212014,2842.0536380321028,22787.1413
80,0,0,7394,5,1,4,2,2842.0536369212014,2842.053636922358,34804.8062
80,0,0,4844,5,1,4,1,2842.0536369212014,2842.053636926402,17700.7215
80,0,0,8850,5,1,4,0,2842.0536369212014,2842.053637758833,36515.6713
40,0,0,3344,5,1,4,9,2842.0536369212014,2842.0536382216364,15102.057
40,0,0,3104,5,1,4,8,2842.0536369212014,2842.053636922358,14483.5874
40,0,0,3244,5,1,4,7,2842.0536369212014,2842.053705260717,14737.5386
40,0,0,2692,5,1,4,6,2842.0536369212014,2842.0536369212014,11578.5655
40,0,0,4828,5,1,4,5,2842.0536369212014,2842.053636921202,15802.1405
40,0,0,1704,5,1,4,4,2842.0536369212014,2842.0555464581944,5846.1217
40,0,0,2950,5,1,4,3,2842.0536369212014,2842.053645306637,12928.8558
40,0,0,2510,5,1,4,2,2842.0536369212014,2842.0536722335883,9616.9236
40,0,0,2796,5,1,4,1,2842.0536369212014,2842.0536497713247,12043.3092
40,0,0,2010,5,1,4,0,2842.0536369212014,2842.0536453390832,8035.5217
20,0,0,1648,5,1,4,9,2842.0536369212014,2842.0536374881212,6518.7918
20,0,0,1952,5,1,4,8,2842.0536369212014,2842.0536528724556,7621.878
20,0,0,906,5,1,4,7,2842.0536369212014,2842.0540246154196,4810.1144
20,0,0,2124,5,1,4,6,2842.0536369212014,2842.053694682283,11982.9582
20,0,0,1386,5,1,4,5,2842.0536369212014,2842.053643,7294.6826
20,0,0,1488,5,1,4,4,2842.0536369212014,2842.053636973218,7529.5593
20,0,0,952,5,1,4,3,2842.0536369212014,2842.054805416164,2836.7301
20,0,0,1278,5,1,4,2,2842.0536369212014,2842.0543355684194,4936.2417
20,0,0,1508,5,1,4,1,2842.0536369212014,2842.053745388019,10150.2051
20,0,0,1052,5,1,4,0,2842.0536369212014,2842.0543537234403,3162.2803
10,0,0,878,5,1,4,9,2842.0536369212014,2842.0536703560742,3646.121
10,0,0,488,5,1,4,8,2842.0536369212014,2842.058767412545,2254.2007
10,0,0,786,5,1,4,7,2842.0536369212014,2842.053772447281,4395.7177
10,0,0,840,5,1,4,6,2842.0536369212014,2842.0595775863894,4100.7545
10,0,0,824,5,1,4,5,2842.0536369212014,2842.054175160933,3039.8757
10,0,0,930,5,1,4,4,2842.0536369212014,2842.0538860055203,2944.616
10,0,0,1726,5,1,4,3,2842.0536369212014,2842.0536370491045,6453.1231
10,0,0,708,5,1,4,2,2842.0536369212014,2842.053646291412,2414.1701
10,0,0,818,5,1,4,1,2842.0536369212014,2842.053924522922,3733.007
10,0,0,532,5,1,4,0,2842.0536369212014,2842.070473860745,1486.1908
5,0,0,444,5,1,4,9,2842.0536369212014,2842.053642717494,1973.594
5,0,0,190,5,1,4,8,2842.0536369212014,2842.059025,2104.3029
5,0,0,644,5,1,4,7,2842.0536369212014,2842.0536710662004,1422.5452
5,0,0,590,5,1,4,6,2842.0536369212014,2842.0549461346804,2497.3304
5,0,0,452,5,1,4,5,2842.0536369212014,2842.0536453250384,3042.3895
5,0,0,320,5,1,4,4,2842.0536369212014,2842.056356969202,1125.8313
5,0,0,386,5,1,4,3,2842.0536369212014,2842.053944,2518.1314
5,0,0,298,5,1,4,2,2842.0536369212014,2842.0536604398526,251.0717
5,0,0,230,5,1,4,1,2842.0536369212014,2842.1437891201977,514.6261
5,0,0,598,5,1,4,0,2842.0536369212014,2842.0536601444855,828.0196
80,0,0,6179,5,1,5,9,1063.754446297751,1063.7544627592392,31536.2666
80,0,0,6867,5,1,5,8,1063.754446297751,1063.754446405253,29771.6259
80,0,0,5749,5,1,5,7,1063.754446297751,1063.754448330541,25218.7246
80,0,0,4435,5,1,5,6,1063.754446297751,1063.7544761229665,18717.8334
80,0,0,6353,5,1,5,5,1063.754446297751,1063.754457525965,29340.0056
80,0,0,5913,5,1,5,4,1063.754446297751,1063.754471088024,23876.8372
80,0,0,5021,5,1,5,3,1063.754446297751,1063.7544480487081,22665.7372
80,0,0,3159,5,1,5,2,1063.754446297751,1063.754449520288,13859.2249
80,0,0,9247,5,1,5,1,1063.754446297751,1063.7544546189645,37973.8416
80,0,0,3143,5,1,5,0,1063.754446297751,1063.7544506767915,10818.4426
40,0,0,2569,5,1,5,9,1063.754446297751,1063.7544469374823,11703.7394
40,0,0,3213,5,1,5,8,1063.754446297751,1063.7544627592392,13711.7509
40,0,0,1681,5,1,5,7,1063.754446297751,1063.7544925391371,8634.0446
40,0,0,1615,5,1,5,6,1063.754446297751,1063.754658650357,8410.087
40,0,0,2665,5,1,5,5,1063.754446297751,1063.754446405253,10158.3587
40,0,0,2457,5,1,5,4,1063.754446297751,1063.754448209176,13483.0276
40,0,0,1589,5,1,5,3,1063.754446297751,1063.754588063206,3774.6246
40,0,0,2997,5,1,5,2,1063.754446297751,1063.754448330541,11046.7687
40,0,0,2929,5,1,5,1,1063.754446297751,1063.754448209176,10589.6945
40,0,0,1699,5,1,5,0,1063.754446297751,1063.7545225751198,4324.9855
20,0,0,1403,5,1,5,9,1063.754446297751,1063.7544547913935,3334.3011
20,0,0,1353,5,1,5,8,1063.754446297751,1063.7544495202883,4814.3446
20,0,0,1065,5,1,5,7,1063.754446297751,1063.754452615042,3843.1481
20,0,0,765,5,1,5,6,1063.754446297751,1063.7552577482131,2706.3874
20,0,0,997,5,1,5,5,1063.754446297751,1063.7544945848797,2669.8551
20,0,0,861,5,1,5,4,1063.754446297751,1063.754658650357,2247.2704
20,0,0,1357,5,1,5,3,1063.754446297751,1063.7545122669483,4060.2311
20,0,0,855,5,1,5,2,1063.754446297751,1063.7546803997525,1421.2184
20,0,0,1733,5,1,5,1,1063.754446297751,1063.7544919104491,6218.5072
20,0,0,1585,5,1,5,0,1063.754446297751,1063.7546016985855,4010.8655
10,0,0,427,5,1,5,9,1063.754446297751,1063.7548755533055,1331.5161
10,0,0,1121,5,1,5,8,1063.754446297751,1063.754489271026,2232.6041
10,0,0,529,5,1,5,7,1063.754446297751,1063.7544750851628,1614.307
10,0,0,417,5,1,5,6,1063.754446297751,1063.7544750851628,1654.2152
10,0,0,845,5,1,5,5,1063.754446297751,1063.754700555388,1360.6583
10,0,0,673,5,1,5,4,1063.754446297751,1063.760856546951,2221.6964
10,0,0,689,5,1,5,3,1063.754446297751,1063.754452405234,1962.4157
10,0,0,515,5,1,5,2,1063.754446297751,1063.754453479889,1588.7081
10,0,0,829,5,1,5,1,1063.754446297751,1063.7561876518364,2680.9657
10,0,0,579,5,1,5,0,1063.754446297751,1063.7545996069996,1066.9464
5,0,0,527,5,1,5,9,1063.754446297751,1063.7544572913262,1893.854
