X,Y,TotalIterations,Stations,Drones,MTSPIteration,GeneticIteration,BestDistance,Genetic,TimeTaken,Filename
503,267.57634033121235,3690,5,1,1,10,2576.062893714682,2576.0628950221544,524.6162,stations5_drones1_iteration1.plan
1267,118,3706,5,1,1,9,2576.062893714682,2576.0635322967596,484.9859,stations5_drones1_iteration1.plan
642,334,3652,5,1,1,8,2576.062893714682,2576.0629176151383,478.8045,stations5_drones1_iteration1.plan
797,408,3696,5,1,1,7,2576.062893714682,2576.062984483184,400.2704,stations5_drones1_iteration1.plan
702,362,3716,5,1,1,6,2576.062893714682,2576.06344850074,474.642,stations5_drones1_iteration1.plan
859,71,3676,5,1,1,5,2576.062893714682,2576.0630299598106,477.6256,stations5_drones1_iteration1.plan
746.9621693614158,87,3760,5,1,1,4,2576.062893714682,2576.062894029191,422.4152,stations5_drones1_iteration1.plan
764,392,3700,5,1,1,3,2576.062893714682,2576.0629079977007,489.2973,stations5_drones1_iteration1.plan
927,61,3680,5,1,1,2,2576.062893714682,2576.0628938897785,416.216,stations5_drones1_iteration1.plan
776.4623370342144,398,3772,5,1,1,1,2576.062893714682,2576.0628947635737,452.8887,stations5_drones1_iteration1.plan
727,320,3720,5,1,2,10,2223.6064760040285,2223.606560306709,3649.1328,stations5_drones1_iteration2.plan
724.1097427986738,321.47873671959854,3704,5,1,2,9,2223.6064760040285,2223.606615336041,2940.4489,stations5_drones1_iteration2.plan
726,321,3700,5,1,2,8,2223.6064760040285,2223.606560306709,2811.1311,stations5_drones1_iteration2.plan
922,216,3652,5,1,2,7,2223.6064760040285,2223.6064766435184,3749.1085,stations5_drones1_iteration2.plan
740,313,3740,5,1,2,6,2223.6064760040285,2223.606600497559,3152.5826,stations5_drones1_iteration2.plan
462,462,3784,5,1,2,5,2223.6064760040285,2223.6064971011056,4223.592,stations5_drones1_iteration2.plan
849,255,3726,5,1,2,4,2223.6064760040285,2223.6064761431753,1975.869,stations5_drones1_iteration2.plan
752,78,3608,5,1,2,3,2223.6064760040285,2223.606476417784,2924.2252,stations5_drones1_iteration2.plan
726,321,3738,5,1,2,2,2223.6064760040285,2223.606560306709,2965.8551,stations5_drones1_iteration2.plan
845,257,3764,5,1,2,1,2223.6064760040285,2223.6065125533078,3194.6806,stations5_drones1_iteration2.plan
740,250,3696,5,1,3,10,1894.8997763641732,1894.8998164287177,3480.5956,stations5_drones1_iteration3.plan
468,462,3662,5,1,3,9,1894.8997763641732,1894.8998374584464,2750.7093,stations5_drones1_iteration3.plan
798,400,3716,5,1,3,8,1894.8997763641732,1894.8997969791637,2771.5279,stations5_drones1_iteration3.plan
622,342,3712,5,1,3,7,1894.8997763641732,1894.8998993176044,3638.8896,stations5_drones1_iteration3.plan
741,249,3750,5,1,3,6,1894.8997763641732,1894.8998310389165,3193.5786,stations5_drones1_iteration3.plan
710.3923124314389,280,3708,5,1,3,5,1894.8997763641732,1894.8997826483728,3393.7027,stations5_drones1_iteration3.plan
732,258,3652,5,1,3,4,1894.8997763641732,1894.8997830730075,2094.0285,stations5_drones1_iteration3.plan
923,419,3738,5,1,3,3,1894.8997763641732,1894.8997849389293,4192.6595,stations5_drones1_iteration3.plan
655.4965752806861,409,3684,5,1,3,2,1894.8997763641732,1894.8997789769692,2933.5697,stations5_drones1_iteration3.plan
602.6847923615437,351.8443458278886,3810,5,1,3,1,1894.8997763641732,1894.8997778540715,2885.078,stations5_drones1_iteration3.plan
1116,377,3830,5,1,4,10,2842.0536369212014,2842.0536461507672,4168.715,stations5_drones1_iteration4.plan
1240,69,3672,5,1,4,9,2842.0536369212014,2842.0536379624878,3682.7397,stations5_drones1_iteration4.plan
888,65,3736,5,1,4,8,2842.0536369212014,2842.053637029533,3821.3555,stations5_drones1_iteration4.plan
975,66,3684,5,1,4,7,2842.0536369212014,2842.0536377622443,2045.3246,stations5_drones1_iteration4.plan
803,64,3654,5,1,4,6,2842.0536369212014,2842.0536382216364,3442.33,stations5_drones1_iteration4.plan
1064,67,3682,5,1,4,5,2842.0536369212014,2842.0536372534634,3381.1326,stations5_drones1_iteration4.plan
801,64,3682,5,1,4,4,2842.0536369212014,2842.053636973218,4441.9103,stations5_drones1_iteration4.plan
356,59,3698,5,1,4,3,2842.0536369212014,2842.0536419973027,2921.4755,stations5_drones1_iteration4.plan
