X,Y,Total Runs,Iteration,Method,Distance,SP Distance,SP Factor,Time,Battery,Launched Drones,Failed Drones,Station Count,Failed Stations,Sensor Count,Failed Sensors,Visited Stations,Read Sensors,Success Factor,ElapsedTicks,Message
765,321,754425,9,350753.984,10770.7,0.0,0.000,0.0,0.0,9,0,60,0,0,0,0,0,0.0,10764344117371,stations60_drones9_iteration9.plan
552,291,787168,8,379332.6522,11124.7,0.0,0.000,0.0,0.0,9,0,60,0,0,0,0,0,0.0,11656555137142,stations60_drones9_iteration8.plan
558,308,731680,7,330535.6208,10011.9,0.0,0.000,0.0,0.0,9,0,60,0,0,0,0,0,0.0,10153040714672,stations60_drones9_iteration7.plan
746,300,732468,6,447291.8889,10702.6,0.0,0.000,0.0,0.0,9,0,60,0,0,0,0,0,0.0,13986528257008,stations60_drones9_iteration6.plan
743,311,694103,5,295924.691,9896.6,0.0,0.000,0.0,0.0,9,0,60,0,0,0,0,0,0.0,9149514938089,stations60_drones9_iteration5.plan
818,284,772568,4,424215.9032,11198.6,0.0,0.000,0.0,0.0,9,0,60,0,0,0,0,0,0.0,13281848962652,stations60_drones9_iteration4.plan
726,310,734385,3,366503.8011,11235.9,0.0,0.000,0.0,0.0,9,0,60,0,0,0,0,0,0.0,11356795998182,stations60_drones9_iteration3.plan
886,219,754290,2,441948.3923,10904.6,0.0,0.000,0.0,0.0,9,0,60,0,0,0,0,0,0.0,13744004519682,stations60_drones9_iteration2.plan
712,281,763800,10,398291.529,10243.5,0.0,0.000,0.0,0.0,9,0,60,0,0,0,0,0,0.0,12435853558067,stations60_drones9_iteration10.plan
646,290,786980,1,387885.9658,9921.3,0.0,0.000,0.0,0.0,9,0,60,0,0,0,0,0,0.0,11982410572525,stations60_drones9_iteration1.plan
851,251,782705,9,405357.9486,10116.6,0.0,0.000,0.0,0.0,8,0,60,0,0,0,0,0,0.0,12581142780256,stations60_drones8_iteration9.plan
766,272,739364,8,352827.8369,9583.7,0.0,0.000,0.0,0.0,8,0,60,0,0,0,0,0,0.0,10836805593252,stations60_drones8_iteration8.plan
787,248,757013,7,371629.925,9370.1,0.0,0.000,0.0,0.0,8,0,60,0,0,0,0,0,0.0,11573045099310,stations60_drones8_iteration7.plan
